CLOSEST_DEF,SHOT_DIST
1.3,7.7
2.1,3.5
1.8,14.6
5.4,5.9
5.6,24.7
11.1,24.2
4,19.1
5.4,14.8
5.1,22.8
6,24.6
0.7,10.6
2.4,7.6
1.8,8
4.9,6.9
11.3,24.7
7.2,22.5
1.9,20
2.4,5.6
9.1,23.1
3.2,5.2
2.3,6.7
4.3,5
4.7,19.5
5.5,24
4.4,21.8
3.5,24.7
2.5,13.1
10.7,14.5
4.8,21.7
9,21.2
2.8,4.4
12.8,24.4
1.8,3.4
4.3,22.7
3.7,8
3.5,25.7
2,7.9
3.2,22.7
4.1,21
5.9,24.5
5.3,19
3.7,19.3
5,17.8
8.7,22.7
7.8,25.1
2.9,20.5
5.1,18.3
7.8,24.9
2.6,5.3
6.2,20.5
5.3,24
13,22.3
2.7,10.4
4,23.2
2.7,5.6
3.1,7.4
7.8,20.4
5.5,21.5
4.6,21.7
5.1,18.5
16.3,3.1
7.2,19.3
1.8,11.4
4.8,24.3
4.9,24.8
5.1,24.7
9,17
4,18
5,21
8.9,22
2.7,19.2
2.5,15.8
5.3,23.8
5.3,23.9
9.3,24.8
5.9,25.1
2.6,16.5
16.4,24.9
1.1,5.2
5.3,20.5
4.6,21.3
3.6,0.9
4.8,26.4
5.2,24.3
1.8,15.4
6.4,23.9
5.2,24.1
13.1,23.8
7.1,17.2
7.5,25
2.4,9.3
2.8,26
6.1,25
6,23.8
3.9,20.3
3.4,20.7
2.5,8.1
3.9,18.4
2.2,11.2
